"date","open","high","low","close","adj_close","volume"
"2004-01-02",0.384821,0.388393,0.378214,0.38,0.324907,144642400
"2004-01-05",0.3825,0.399821,0.3825,0.395893,0.338496,395018400
"2004-01-06",0.397321,0.400357,0.387679,0.394464,0.337274,509348000
"2004-01-07",0.394643,0.407679,0.391607,0.403393,0.344908,586874400
"2004-01-08",0.407857,0.42375,0.404464,0.417143,0.356665,460303200
"2004-01-09",0.414821,0.430893,0.406964,0.410714,0.351168,427459200
"2004-01-12",0.415179,0.428571,0.4125,0.42375,0.362314,487547200
"2004-01-13",0.441071,0.443571,0.426071,0.430714,0.368268,679016800
"2004-01-14",0.435714,0.438214,0.424643,0.432143,0.36949,620043200
"2004-01-15",0.409107,0.417857,0.401786,0.408036,0.348878,1018208800
"2004-01-16",0.40875,0.411429,0.40375,0.405714,0.346893,372820000
"2004-01-20",0.404821,0.407143,0.397321,0.405893,0.347046,315946400
"2004-01-21",0.405357,0.410179,0.400536,0.40375,0.345213,226660000
"2004-01-22",0.402857,0.407679,0.396071,0.396071,0.338648,205004800
"2004-01-23",0.400357,0.406071,0.397321,0.402857,0.34445,227169600
"2004-01-26",0.401071,0.411786,0.400536,0.410893,0.351321,271269600
"2004-01-27",0.411429,0.415179,0.407143,0.411964,0.352237,307070400
"2004-01-28",0.407857,0.4175,0.400179,0.402143,0.34384,275402400
"2004-01-29",0.404107,0.407143,0.39625,0.405,0.346282,212699200
"2004-01-30",0.404464,0.408393,0.400357,0.402857,0.34445,185298400
"2004-02-02",0.401071,0.407321,0.394286,0.398571,0.340785,287431200
"2004-02-03",0.398214,0.4,0.392857,0.3975,0.33987,180812800
"2004-02-04",0.392857,0.394464,0.3875,0.389107,0.332693,305552800
"2004-02-05",0.389643,0.409107,0.389464,0.400357,0.342313,352844800
"2004-02-06",0.400893,0.40875,0.4,0.405536,0.34674,193340000
"2004-02-09",0.403929,0.408214,0.401786,0.404821,0.346129,188260800
"2004-02-10",0.403929,0.412857,0.400714,0.410357,0.350863,255343200
"2004-02-11",0.412321,0.42625,0.411607,0.425,0.363383,348544000
"2004-02-12",0.421607,0.428393,0.421429,0.42375,0.362314,183988000
"2004-02-13",0.425893,0.430357,0.407679,0.410714,0.351168,315980000
"2004-02-17",0.4125,0.419464,0.4125,0.413571,0.353611,170956800
"2004-02-18",0.413929,0.418571,0.411607,0.415357,0.355138,141635200
"2004-02-19",0.416607,0.422143,0.400179,0.40125,0.343076,323080800
"2004-02-20",0.401786,0.401964,0.396607,0.4,0.342007,277603200
"2004-02-23",0.398929,0.401071,0.390893,0.39625,0.338801,194079200
"2004-02-24",0.395357,0.406071,0.392857,0.399286,0.341397,259056000
"2004-02-25",0.397857,0.408929,0.396607,0.407321,0.348267,276276000
"2004-02-26",0.408571,0.413929,0.407143,0.411429,0.351779,198408000
"2004-02-27",0.41,0.428929,0.409821,0.427143,0.365215,468837600
"2004-03-01",0.430357,0.433929,0.42625,0.428929,0.366742,321680800
"2004-03-02",0.428571,0.430357,0.424464,0.425179,0.363536,256687200
"2004-03-03",0.421429,0.431964,0.421429,0.427143,0.365215,225131200
