"date","open","high","low","close","adj_close","volume","ma_200","ma_50","ma_21","ma_7"
"2005-01-03","1.15679","1.16268","1.11786","1.13018","0.97039","691992000","0.693169","1.06673","1.14733","1.14857"
"2005-01-04","1.13911","1.16911","1.12446","1.14179","0.980356","1096810400","0.696569","1.07263","1.1484","1.14339"
"2005-01-05","1.15107","1.16518","1.14375","1.15179","0.988942","680433600","0.700019","1.57869","1.14731","1.14881"
"2005-01-06","1.15482","1.15911","1.13089","1.15268","0.989709","705555200","0.703524","1.08461","1.14872","1.14776"
"2005-01-07","1.16071","1.24339","1.15625","1.23661","1.06177","2227450400","0.70743","1.09137","1.1538","1.16003"
"2005-01-10","1.24696","1.2625","1.21214","1.23143","1.05733","1725309600","0.711188","1.09736","1.15803","1.17064"
